ax;ay;az;gx;gy;gz
4153;164;-598;2;-12;-11
4162;160;-629;2;-12;-14
4162;155;-603;4;-14;-12
4178;151;-619;1;-13;-14
4166;166;-636;0;-9;-15
4180;167;-612;3;-12;-15
4152;161;-643;4;-9;-12
4168;174;-657;2;-7;-14
4175;171;-603;2;-9;-15
4164;188;-648;3;-7;-13
4182;197;-657;1;-3;-13
4167;221;-663;-3;-1;-7
4162;185;-646;-5;-2;-3
4153;157;-638;-6;-2;-1
4166;181;-654;-8;1;1
4166;167;-640;-4;2;1
4167;169;-615;-6;1;0
4166;152;-628;-2;0;-1
4163;155;-645;5;0;-3
4142;171;-578;3;-1;-3
4157;151;-578;1;-6;-4
4149;171;-596;2;-7;0
4151;164;-595;5;-5;0
4158;181;-615;0;-7;0
4168;173;-650;-2;-7;0
4154;173;-606;-3;-7;2
4174;171;-601;-3;-9;5
4183;152;-628;-4;-11;0
4179;148;-606;0;-12;-1
4202;149;-636;0;-15;-2
4194;161;-607;2;-13;-5
4186;161;-594;-1;-20;-4
4163;174;-591;6;-12;-3
4163;181;-590;12;-16;-2
4150;180;-635;4;-14;-2
4165;180;-593;6;-20;1
4155;164;-628;7;-20;3
4160;164;-653;6;-19;5
4155;151;-666;5;-13;2
4169;145;-694;5;-15;3
4189;148;-685;1;-12;1
4191;144;-654;2;-7;1
4212;139;-692;-1;1;-4
4213;142;-642;-1;3;-3
4215;148;-645;-3;2;-7
4215;132;-628;-1;6;-12
4178;138;-625;-4;11;-14
4176;149;-666;1;12;-17
4155;140;-647;4;14;-16
4147;134;-610;2;15;-17
4146;153;-630;-1;16;-19
4137;161;-596;0;16;-23
4134;153;-622;-1;10;-24
4127;165;-618;-1;6;-23
4143;177;-574;0;6;-23
4165;157;-603;-2;2;-19
4173;170;-546;-3;0;-22
4164;204;-567;1;-5;-19
4165;198;-604;1;-7;-16
4173;198;-582;2;-7;-15
4166;197;-601;3;-8;-14
4165;190;-598;2;-9;-11
4152;196;-596;-2;-11;-5
4137;198;-598;0;-15;-5
4152;170;-604;2;-18;-3
4155;189;-628;1;-20;-1
4163;177;-588;0;-22;2
4168;164;-599;1;-24;2
4161;164;-588;3;-25;3
4171;161;-557;0;-30;6
4168;164;-612;2;-30;7
4159;161;-601;5;-32;9
4161;151;-590;4;-39;6
4164;134;-616;3;-41;5
4163;121;-604;7;-42;4
4147;113;-631;8;-42;2
4179;128;-643;9;-40;-1
4173;127;-648;12;-41;-5
4173;145;-658;12;-39;-9
4178;149;-657;11;-34;-9
4194;130;-698;6;-38;-11
4192;167;-672;3;-29;-17
4203;165;-637;4;-25;-16
4186;158;-669;8;-24;-18
4175;159;-657;6;-18;-14
4176;159;-667;3;-14;-13
4181;189;-652;1;-14;-11
4162;192;-655;1;-11;-12
4158;193;-635;0;-12;-10
4161;166;-646;-2;-7;-9
4130;184;-608;-3;-5;-7
4148;194;-649;1;-6;-6
4142;169;-652;6;-4;-4
4156;154;-618;5;-2;-1
4145;168;-601;7;1;-3
4137;175;-670;4;-1;-5
4175;176;-628;5;1;-5
4175;179;-633;7;2;-1
4174;177;-609;2;1;-6
4171;159;-591;-1;4;-8
4188;165;-627;-2;11;-8
4189;143;-628;0;8;-4
4208;135;-620;-5;11;-10
4192;163;-615;-3;7;-10
4180;163;-593;-1;7;-9
4182;165;-617;1;6;-9
4165;142;-595;1;1;-13
4158;175;-593;0;0;-11
4170;179;-586;0;0;-10
4151;149;-572;1;-5;-15
4171;148;-606;2;-7;-13
4164;166;-611;2;-5;-13
4153;160;-613;4;-8;-15
4133;165;-584;2;-16;-13
4159;175;-609;3;-11;-16
4165;183;-626;3;-13;-12
4183;153;-607;0;-14;-13
4183;159;-615;-1;-18;-12
4159;168;-575;-1;-17;-14
4185;161;-619;1;-18;-10
4172;165;-588;3;-23;-6
4164;177;-594;3;-24;-9
4144;170;-634;1;-21;-7
4158;157;-649;2;-23;-7
4142;174;-608;4;-25;-7
4160;187;-635;4;-24;-2
4141;170;-619;3;-23;-1
4137;174;-609;6;-22;0
4144;170;-615;1;-21;-1
4157;158;-629;-2;-18;0
4178;143;-658;0;-19;-3
4169;164;-641;0;-13;1
4168;153;-634;0;-13;-3
4200;141;-652;1;-12;-6
4197;147;-626;5;-13;-10
4183;126;-653;3;-10;-12
4191;130;-637;1;-8;-13
4190;144;-637;5;-6;-14
4183;167;-634;4;-3;-14
4153;179;-617;3;-3;-12
4155;195;-613;3;-2;-15
4168;189;-646;3;2;-15
4173;203;-659;0;0;-10
4144;176;-615;4;-2;-9
4138;185;-630;-4;-1;-7
4142;197;-628;-3;3;-3
4147;181;-591;-3;4;1
4168;168;-626;-3;-1;1
4185;144;-614;-1;2;-2
4180;145;-648;-1;0;-2
4190;153;-610;-2;5;-2
4181;167;-629;2;-1;-2
4190;172;-613;-1;3;-2
4202;176;-585;2;-2;-4
4175;162;-648;3;0;-2
4161;165;-602;-2;-5;-3
4168;231;-607;-1;-6;-2
4156;268;-766;6;-5;6
4173;45;-608;20;6;17
4129;78;-542;3;1;0
4146;153;-602;-22;-15;-12
4178;153;-659;-4;-9;-5
4158;140;-596;17;-4;0
4164;99;-581;9;-2;-6
4161;148;-627;-1;-11;-16
4159;194;-618;3;-9;-19
4169;173;-639;7;-6;-10
4171;184;-625;1;-9;-6
4208;158;-635;-5;-10;-7
4182;173;-647;-1;-5;-8
4173;180;-611;1;-8;-7
4185;158;-637;4;-10;-4
4146;179;-627;1;-8;-4
4168;171;-639;0;-7;-7
4178;160;-598;1;-4;-5
4176;154;-621;4;-2;-5
4167;152;-636;0;-8;-8
4166;135;-633;2;-8;-7
4167;152;-618;3;-5;-11
4169;161;-623;4;-7;-10
4175;167;-635;1;-6;-10
4173;155;-615;2;-3;-11
4183;181;-637;3;-4;-10
4183;186;-619;-1;-2;-9
4182;179;-630;-2;-1;-6
4168;164;-639;-6;-2;-5
4174;164;-636;-3;-4;-7
4172;159;-622;-3;-5;-4
4152;155;-648;-5;-6;-7
4147;179;-575;0;-6;-5
4136;166;-611;1;-8;-6
4159;159;-591;-1;-7;-6
4148;170;-619;4;-6;-12
4160;156;-620;3;-10;-13
4171;171;-607;2;-13;-11
4160;165;-606;5;-13;-11
4170;159;-602;1;-9;-12
4185;195;-627;0;-10;-14
4168;159;-621;0;-12;-13
4161;172;-622;-1;-8;-11
4187;172;-647;1;-9;-13
4165;190;-628;4;-9;-10
4171;189;-593;0;-9;-10
4161;178;-591;1;-6;-8
4160;161;-668;2;-9;-6
4140;184;-635;4;-10;-9
4173;165;-621;4;-10;-8
4168;168;-631;3;-11;-7
4173;186;-634;3;-9;-9
4173;175;-624;1;-8;-8
4174;188;-622;1;-10;-8
4166;176;-628;0;-7;-7
4199;174;-629;0;-9;-7
4160;170;-629;2;-9;-7
4158;162;-648;3;-13;-7
4174;179;-655;0;-5;-8
4185;159;-634;1;-4;-7
4186;189;-650;0;-3;-2
4178;160;-618;-5;-6;-5
4159;154;-600;-3;-6;-7
4185;141;-606;0;-2;-8
4162;180;-628;3;-4;-5
4167;202;-601;6;-5;-4
4160;187;-630;6;-3;-6
4131;186;-623;5;-2;1
4142;187;-612;3;-4;1
4164;189;-625;1;-8;-1
4144;187;-616;3;-11;4
4175;174;-613;-6;-9;7
4176;165;-615;-3;-9;6
4181;141;-602;-4;-12;6
4178;137;-584;-2;-8;3
4170;133;-577;-2;-14;3
4187;127;-619;0;-16;2
4175;119;-576;3;-20;-5
4176;119;-605;3;-23;-7
4180;137;-587;2;-25;-10
4162;136;-628;8;-24;-14
4144;144;-616;7;-27;-14
4154;157;-632;7;-31;-14
4164;159;-645;6;-27;-16
4160;147;-653;5;-27;-18
4171;171;-652;8;-28;-21
4177;166;-668;5;-28;-19
4174;169;-665;5;-26;-19
4204;195;-692;5;-18;-19
4183;190;-684;3;-18;-17
4167;204;-688;-1;-15;-17
4182;207;-663;2;-10;-13
4182;188;-649;2;-3;-9
4172;175;-659;-1;-2;-6
4164;204;-649;-2;-3;-7
4179;173;-629;-2;4;-5
4134;159;-594;-2;6;-4
4148;162;-629;-3;5;-3
4185;147;-618;-1;4;-3
4158;148;-587;1;5;-6
4155;159;-576;-2;2;-3
4154;168;-628;1;1;-8
4162;163;-622;2;2;-6
4182;184;-614;0;2;-5
4171;161;-608;1;2;-3
4158;169;-586;-2;-1;-6
4184;179;-618;-1;1;-9
4183;180;-606;-1;2;-4
4184;186;-626;0;0;-4
4175;186;-634;-2;3;-3
4182;191;-605;-4;-1;-3
4164;182;-623;-1;0;-2
4170;180;-601;-4;-8;-2
4155;159;-596;-3;-5;-1
4182;169;-603;0;-4;0
4152;155;-581;0;-8;-2
4150;149;-587;-3;-8;-3
4182;148;-609;2;-10;-6
4184;133;-587;3;-14;-6
4194;159;-606;1;-19;-6
4164;151;-606;4;-21;-9
4175;166;-630;4;-25;-8
4150;167;-636;6;-26;-8
4153;177;-623;5;-24;-8
4167;175;-612;5;-28;-11
4162;156;-635;0;-25;-9
4133;159;-622;0;-22;-11
4146;167;-632;5;-27;-12
4156;169;-618;-4;-23;-11
4183;177;-678;0;-24;-9
4186;173;-657;0;-20;-9
4178;187;-674;0;-21;-9
4184;165;-642;5;-14;-9
4201;175;-651;-3;-15;-7
4149;190;-658;-1;-13;-6
4178;183;-652;0;-11;-2
4179;163;-633;0;-11;0
4147;172;-638;1;-9;-1
4153;149;-625;2;-10;-1
4167;139;-645;3;-7;-2
4178;160;-640;6;-8;-4
4157;182;-635;4;-7;-4
4181;166;-643;5;-6;-2
4181;208;-650;6;-2;-3
4163;171;-649;3;-2;-2
4186;199;-636;-1;2;-1
4207;179;-620;2;4;3
4179;189;-633;-3;6;4
4185;164;-656;-6;9;3
4174;156;-632;-6;10;8
4177;165;-613;-2;10;5
4166;158;-627;-1;7;6
4159;146;-602;-1;7;1
4163;149;-634;-2;12;0
4163;139;-598;-1;7;0
4161;145;-622;1;5;-4
4175;155;-593;2;4;-5
4178;151;-588;0;1;-8
4164;175;-607;-1;-2;-7
4167;166;-618;-1;-6;-7
4163;141;-592;0;-5;-6
4174;168;-602;0;-6;-10
4151;144;-617;0;-9;-10
4161;153;-593;0;-12;-12
4175;161;-607;2;-18;-12
4160;161;-610;-1;-15;-11
4159;160;-601;4;-18;-10
4182;152;-597;0;-18;-13
4172;145;-612;3;-18;-10
4179;150;-619;1;-21;-12
4176;153;-622;2;-21;-10
4182;165;-623;1;-21;-14
4152;153;-653;4;-20;-11
4164;186;-631;2;-19;-12
4162;169;-634;0;-22;-12
4158;176;-642;2;-25;-11
4152;176;-624;4;-23;-8
4147;172;-622;-2;-22;-10
4162;170;-647;1;-20;-8
4169;162;-606;-1;-20;-11
4183;171;-590;0;-22;-12
4164;159;-637;2;-21;-10
4192;174;-633;1;-22;-9
4165;170;-601;4;-23;-6
4171;158;-620;2;-27;-5
4167;172;-593;4;-30;-4
4169;163;-613;4;-28;-3
4171;156;-633;4;-33;-4
4163;173;-634;5;-33;-6
4150;157;-598;3;-32;-2
4160;159;-604;1;-31;-4
4165;166;-623;3;-31;-5
4181;152;-620;4;-32;-7
4190;161;-630;4;-30;-9
4179;139;-604;4;-30;-7
4181;172;-613;3;-34;-11
4171;150;-612;4;-32;-14
4178;150;-634;1;-35;-14
4147;167;-634;4;-33;-16
4190;151;-629;1;-33;-19
4170;157;-652;3;-34;-16
4175;164;-679;1;-33;-16
4151;162;-640;1;-32;-12
4193;174;-635;0;-37;-15
4162;154;-612;-1;-32;-15
4180;155;-623;3;-30;-14
4170;166;-656;4;-26;-14
4150;174;-677;4;-29;-13
4128;188;-653;4;-26;-17
4171;184;-658;4;-24;-16
4151;167;-643;2;-19;-14
4154;174;-664;2;-21;-12
4161;182;-660;3;-13;-9
4183;192;-627;3;-15;-11
4193;179;-660;3;-15;-9
4182;186;-621;2;-11;-8
4194;191;-649;7;-15;-9
4164;195;-655;6;-14;-7
4162;189;-620;1;-15;-5
4146;204;-665;4;-11;-2
4162;194;-625;5;-12;-1
4171;202;-625;2;-11;1
4148;200;-613;3;-11;3
4141;200;-612;2;-11;9
4150;192;-630;-2;-12;11
4165;171;-621;-1;-9;12
4167;178;-643;-3;-11;16
4165;144;-640;-3;-12;15
4172;131;-626;1;-8;16
4153;140;-578;-2;-13;13
4165;111;-606;3;-17;14
4154;133;-634;4;-20;7
4191;141;-616;6;-17;5
4183;133;-649;8;-21;2
4191;134;-663;8;-18;-1
4190;115;-647;6;-21;-3
4182;123;-650;4;-17;-10
4183;121;-640;3;-20;-8
4190;128;-640;4;-16;-11
4185;118;-657;5;-16;-17
4167;122;-679;3;-17;-23
4178;130;-635;1;-14;-28
4167;136;-625;3;-11;-28
4158;134;-640;3;-13;-32
4179;120;-632;3;-16;-34
4174;154;-626;4;-12;-40
4184;188;-582;2;-16;-38
4172;191;-609;5;-17;-35
4156;208;-614;1;-18;-34
4152;208;-602;5;-17;-30
4146;243;-606;3;-23;-26
4143;232;-598;3;-24;-24
4139;231;-607;5;-29;-19
4151;239;-593;6;-33;-8
4117;244;-618;7;-33;-7
4130;225;-650;5;-39;2
4153;217;-657;6;-36;3
4141;220;-633;4;-32;9
4151;215;-644;3;-36;13
4149;195;-643;4;-34;20
4163;192;-669;1;-34;24
4174;156;-654;6;-34;23
4179;136;-675;7;-32;22
4155;134;-660;6;-30;21
4159;112;-645;11;-32;16
4165;127;-666;10;-27;13
4177;119;-651;12;-25;11
4195;132;-652;11;-25;6
4187;152;-656;13;-23;3
4214;163;-677;11;-22;2
4195;158;-685;7;-20;3
4186;162;-715;10;-18;-2
4197;155;-692;6;-10;-3
4180;163;-645;7;-12;-5
4170;144;-672;7;-11;-4
4203;169;-644;4;-9;-5
4216;161;-636;3;-9;-6
4192;184;-634;-1;-12;-5
4198;168;-622;-2;-6;-4
4195;171;-645;1;-9;-5
4185;185;-656;3;-7;-2
4176;161;-645;0;-11;-2
4172;140;-650;0;-9;-3
4154;151;-639;1;-6;-4
4156;145;-645;1;-10;-4
4172;127;-699;2;-10;-7
4164;151;-686;5;-7;-4
4166;143;-688;5;-3;-7
4166;160;-709;6;0;-9
4189;161;-676;3;-2;-11
4178;166;-681;1;10;-11
4180;170;-722;0;11;-10
4177;168;-656;-2;17;-11
4185;165;-654;-2;20;-10
4168;188;-623;-2;29;-10
4157;196;-638;-2;27;-7
4174;214;-624;-5;21;-4
4165;193;-632;-4;27;2
4159;211;-663;-6;25;4
4153;194;-607;-5;28;6
4133;185;-613;-5;24;9
4149;193;-589;-6;21;10
4159;161;-638;-7;18;9
4159;158;-622;-4;20;13
4171;157;-591;-5;13;9
4168;142;-604;-5;13;9
4164;151;-628;-3;9;7
4175;119;-607;-6;7;2
4178;103;-602;-7;10;0
4157;116;-626;-7;4;-5
4191;102;-579;-6;4;-10
4168;131;-546;-3;-1;-16
4184;99;-562;-1;-7;-19
4161;155;-598;5;-10;-23
4121;176;-565;5;-12;-24
4147;159;-571;3;-19;-27
4140;176;-559;4;-26;-25
4170;199;-609;4;-28;-25
4144;168;-622;5;-31;-23
4142;183;-600;7;-32;-20
4157;213;-621;4;-40;-18
4149;178;-634;4;-39;-16
4163;183;-609;2;-40;-12
4189;170;-650;2;-40;-11
4179;175;-616;1;-41;-11
4197;198;-641;-1;-36;-9
4175;190;-658;3;-36;-6
4159;168;-652;7;-34;0
4174;178;-594;2;-35;-3
4166;193;-647;1;-34;3
4161;182;-636;2;-31;3
4151;172;-652;1;-34;3
4181;173;-668;1;-36;3
4166;178;-679;2;-30;5
4161;151;-676;5;-30;8
4182;149;-693;1;-23;2
4164;145;-700;6;-21;3
4148;177;-696;9;-22;2
4162;164;-687;6;-21;3
4163;174;-715;6;-15;2
4172;140;-682;4;-11;3
4170;148;-678;0;-10;0
4179;135;-667;2;-10;-1
4185;150;-660;2;-4;0
4200;134;-673;0;-5;-5
4204;132;-674;0;-3;-7
4187;139;-662;-1;1;-12
4199;158;-657;-3;2;-11
4186;165;-666;3;7;-12
4199;182;-658;2;8;-15
4173;197;-675;7;9;-6
4170;193;-655;6;9;-8
4155;194;-662;1;15;-8
4158;183;-656;-1;13;-7
4169;192;-668;0;19;-2
4164;187;-676;-4;19;-7
4159;155;-628;-2;19;-1
4162;163;-626;-4;23;0
4182;164;-639;0;27;2
417